12344|0|ControlP|20|4096|3|5|50
54332|12344|ControlPH|10|2048|3|5|5
54333|12344|ControlPH|10|2048|3|5|5
54334|12344|ControlPH|10|2048|3|5|5
54335|12344|ControlPH|10|2048|3|5|5
12345|0|Transac|8|8196|4|4|25
54445|12345|TransacD1|8|8196|4|2|4
54446|12345|TransacD1|8|8196|4|2|4
54447|12345|TransacD1|8|8196|4|2|4
54448|12345|TransacD1|8|8196|4|2|4
54449|12345|TransacD1|8|8196|4|2|4
54450|12345|TransacD1|8|8196|4|2|4
54451|12345|TransacD1|8|8196|4|2|4
12346|0|Response|4|1024|2|3|75
54452|12346|ResponseL|4|1024|2|3|8
54453|12346|ResponseL|4|1024|2|3|8
54454|12346|ResponseL|4|1024|2|3|8
54455|12346|ResponseL|4|1024|2|3|8
54456|12346|ResponseL|4|1024|2|3|8
54457|12346|ResponseL|4|1024|2|3|8
54458|12346|ResponseL|4|1024|2|3|8






